Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Bumper Screw Grommets,10771PK,8mm Stem Length 14.70mm Head Diameter 8.50mm Hole Size Interior Trim Grommets,8mm Stem Length 14.70mm Head Diameter 8.50mm Hole Size Yellow Nylon Interior Trim Grommets,Yellow Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Hyundai # 81385-38000
Bumper & Fender Screw Grommets,10796PK,11mm Stem Length 12mm Head Size 9mm Hole Size,11mm Stem Length 12mm Head Size 9mm Hole Size White Nylon,White Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Hyundai # 14913-05010
Fender Apron Screw Grommets,10777PK,12mm Stem length 16mm Head Diameter 8.50mm Hole Size,12mm Stem length 16mm Head Diameter 8.50mm Hole Size Black Nylon,Black Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Hyundai # 86848-22000, 86848-C8000"
Bumper Cover Screw Nuts,12611PK,18mm Stem Length 9.50 x 8.50mm Hole Size,18mm Stem Length 9.50 x 8.50mm Hole Size White Nylon With Sealer,White Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Hyundai # 86625-3S000
Bumper Cover Screw Nuts,10775PK,8.50mm Stem Length 13mm Head Size 9mm Hole Size Rocker Moulding Screw Grommets,8.50mm Stem Length 13mm Head Size 9mm Hole Size White Nylon Rocker Moulding Screw Grommets,White Nylon,25 Pcs.,#12 (5.50mm) Screw Size; Hyundai # 87756-35000
Nuts Specialty,10781PK,15mm Head Size 8mm Stem Length 10mm Hole Size Headlight Assembly Grommets,15mm Head Size 8mm Stem Length 10mm Hole Size Natural Nylon Headlight Assembly Grommets,Natural Nylon,25 Pcs.,Hyundai # XG300/350; Kia # 92351-37000
Retainers Shield,17932PK,14mm Hex Size 30mm Flange Diameter,14mm Hex Size 30mm Flange Diameter Black Nylon Splash Shield Nuts,Black Nylon,15 Pcs.,Hyundai # 84145-26000; Hyundai
Clips Hood Prop Rod,18886PK,"1/4"" (6.35mm) Hole Size 18mm Stem Length 18.40mm Head Diameter","1/4"" (6.35mm) Hole Size 18mm Stem Length 18.40mm Head Diameter Black Nylon Plug Trim Retainers",Black Nylon,25 Pcs.,Hyundai # 85746-02000
Hood Prop Rod Clips,18118PK,8mm Rod Size 14mm Hole Size 24mm Length 20mm Width,8mm Rod Size 14mm Hole Size 24mm Length 20mm Width Black Nylon,Black Nylon,15 Pcs.,Hyundai # 81174-2L000
Clips Hood Release,18117PK,Holds 8mm Rod 9mm Stem Length 20 x 20mm Bottom Base Size,Holds 8mm Rod 9mm Stem Length 20 x 20mm Bottom Base Size Black Nylon,Black Nylon,15 Pcs.,"Hyundai # 81174-21000, 81174-11011,"
Hood Release Cable Clips,16337PK,"5/16"" (8mm) Hole Size 19mm Overall Height 7mm Diameter Cable","5/16"" (8mm) Hole Size 19mm Overall Height 7mm Diameter Cable Black Nylon",Black Nylon,25 Pcs.,Hyundai # 81199-33000
Retainers Hood Seal,16336PK,"5/16"" (8mm) Hole Size 19.70mm Overall Height 7mm Diameter Cable","5/16"" (8mm) Hole Size 19.70mm Overall Height 7mm Diameter Cable Black Nylon",Black Nylon,25 Pcs.,Hyundai # 81199-38000
Retainers Hood Seal,18891PK,"1/4"" (6.50mm) Hole Size 9.50mm Stem Length 13.05 x 4.75 Head Diameter","1/4"" (6.50mm) Hole Size 9.50mm Stem Length 13.05 x 4.75 Head Diameter Black Nylon Hood Seal & Rocker Moulding Upper Clips Mounting Retainers",Black Nylon,25 Pcs.,Hyundai # 86438-A5000; Kia # 86438-A5000
Retainers Hood Insulation,16402PK,"19/64"" (7.50mm) Hole Size 10mm Stem Length 5.00 x 13.00mm Head Size","19/64"" (7.50mm) Hole Size 10mm Stem Length 5.00 x 13.00mm Head Size Black Nylon",Black Nylon,50 Pcs.,Hyundai # 86438-1R000                                       I; Hyundai
Retainers Weatherstrip,10782PK,"5/16"" (8mm) Hole Size 14mm Stem Length 26mm Head Diameter","5/16"" (8mm) Hole Size 14mm Stem Length 26mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Hyundai # 81126-37010
Retainers Weatherstrip,18100PK,"13/64"" (5mm) Hole Size 6mm Stem Length 5.00 x 13.00mm Head Size","13/64"" (5mm) Hole Size 6mm Stem Length 5.00 x 13.00mm Head Size Red Nylon Weatherstrip Retainers",,50 Pcs.,Hyundai # 82133-37000
Retainers Weatherstrip,12069PK,"13/64"" (5mm) Hole Size                       50 pcs. 10mm Stem Length 5.00 x 15.00mm Head Size","13/64"" (5mm) Hole Size                       50 pcs. 10mm Stem Length 5.00 x 15.00mm Head Size Natural Nylon Weatherstrip Retainers",Natural Nylon,50 pcs.,"Ford # E7GZ-6120586-B; Hyundai # 86438-2B000; Mazda # G031-58-762; Toyota # 67867-89103, 97868-89101,"
Door Weatherstrip Retainers,17933PK,"13/64"" (5mm) Hole Size 11mm Stem Length 5.00 x 15.00mm Top Head Size","13/64"" (5mm) Hole Size 11mm Stem Length 5.00 x 15.00mm Top Head Size White Nylon El",White Nylon,25 Pcs.,Hyundai # 82132-27100
Door Weatherstrip Retainers,17937PK,"1/4"" (6mm) Hole Size 8mm Stem Length 5.00 x 15.00mm Head Size","1/4"" (6mm) Hole Size 8mm Stem Length 5.00 x 15.00mm Head Size Pink Nylon Weatherstrip Retainers",,100 Pcs.,Hyundai # 87756-2W000
Hood Seal Retainers,10767PK,"1/4"" (6.50mm) Hole Size 11mm Stem Length 5.00 x 13.00mm Head Size","1/4"" (6.50mm) Hole Size 11mm Stem Length 5.00 x 13.00mm Head Size Black Nylon",Black Nylon,100 Pcs.,Hyundai # 86438-4A100
Hood Seal Retainers,10766PK,"1/4"" (6.50mm) Hole Size 14mm Stem Length 6.00 x 16.00mm Head Size","1/4"" (6.50mm) Hole Size T 14mm Stem Length 6.00 x 16.00mm Head Size Black Nylon",Black Nylon,50 Pcs.,Hyundai # 86434-4A000
Retainers Push Type,15082PK,18.30mm Wide 29mm Length,18.30mm Wide 29mm Length White Nylon Belt Moulding Weatherstrip Clips,White Nylon,25 Pcs.,Hyundai # 83219-22000
Retainers Weatherstrip,15146PK,"1/4"" (6.50mm) Hole Size 10mm Stem Length 15mm Flange Diameter","1/4"" (6.50mm) Hole Size 10mm Stem Length 15mm Flange Diameter Black Nylon Cowl & Bumper",Black Nylon,15 Pcs.,Hyundai # 86155-2H100; Hyundai
Push Type Retainers,17598PK,"1/4"" (6.30mm) Hole Size 13mm Stem Length 15mm Flange Diameter","1/4"" (6.30mm) Hole Size 13mm Stem Length 15mm Flange Diameter Black Nylon 90467-07076-C0",Black Nylon,10 Pcs.,"G.M. # 96057846; Hyundai # 86155-2200; Toyota # 90467-07041, 90467-07041-B2,"
Retainers Phillips Screw,13091PK,"5/16"" (8mm) Hole Size 14mm Stem Length 18mm Head Diameter","5/16"" (8mm) Hole Size 14mm Stem Length 18mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,"Hyundai # 86595-2T500, 14206-08250-B"
Retainers Phillips Screw,9238PK,"13/64"" (5mm) Hole Size 13mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 13mm Stem Length 10mm Head Diameter Black Nylon Hood Mounting Phillips Screw Type Retainers",Black Nylon,25 Pcs.,Hyundai # 86157-37000
Push Type Retainers,15324PK,"5/16"" (8mm) Hole Size 10mm Stem length 18mm Head Diameter","5/16"" (8mm) Hole Size 10mm Stem length 18mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Hyundai # 86590-3S000; Subaru # 90913-0067
Push Type Retainers,9287PK,"5/16"" (8mm) Hole Size 12mm Stem Length 18mm Flange Diameter","5/16"" (8mm) Hole Size 12mm Stem Length 18mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,10 Pcs.,"Ford # MB-455-56143, W705845-S300; Hyundai # 86590-28000; Mazda # B092-51-833"
Retainers Door Trim Panel,9680PK,"3/8"" (9.50mm) Hole Size 26mm Stem Length 20mm Head Diameter","3/8"" (9.50mm) Hole Size 26mm Stem Length 20mm Head Diameter Black Nylon Bumper Cover Phillips Screw Retainers",Black Nylon,25 Pcs.,Hyundai # 86590-35000
Door Trim Panel Retainers,12616PK,"9/32"" (7mm) Hole Size 15mm Stem Length 13mm Top Head Diameter","9/32"" (7mm) Hole Size 15mm Stem Length 13mm Top Head Diameter White Nylon With Sealer",White Nylon,25 Pcs.,Hyundai # 82315-36000
Retainers Door Trim Panel,15876PK,"21/64"" (8.50mm) Hole Size 10mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 10mm Stem Length 13mm Top Head Diameter Green Nylon Garnish Retainers",,25 Pcs.,Hyundai # 82315-2W000; Hyundai
Retainers Door Trim Panel,12613PK,"21/64"" (8.50mm) Hole Size 13mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 13mm Stem Length 13mm Top Head Diameter White Nylon Trim Panel & Window Garnish Retainers",White Nylon,50 Pcs.,Hyundai # 85506-4A000
Door Trim Panel Retainers,12617PK,"21/64"" (8.50mm) Hole Size 15mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 15mm Stem Length 13mm Top Head Diameter White Nylon",White Nylon,50 Pcs.,Hyundai # 82315-22000
Trim Panel Retainers,10773PK,"23/64"" (9mm) Hole Size 12mm Stem Length 13mm Top Head Diameter","23/64"" (9mm) Hole Size 12mm Stem Length 13mm Top Head Diameter Gray Nylon",Gray Nylon,25 Pcs.,Hyundai # 85849-3B000
Door Trim Panel Retainers,10774PK,"23/64"" (9mm) Hole Size 12mm Stem Length 15mm Top Head Diameter","23/64"" (9mm) Hole Size 12mm Stem Length 15mm Top Head Diameter Neon Pink Nylon",,25 Pcs.,Hyundai # 82315-27000
Door Trim Panel Retainers,12612PK,"23/64"" (9mm) Hole Size 13mm Stem Length 13mm Top Head Diameter","23/64"" (9mm) Hole Size 13mm Stem Length 13mm Top Head Diameter White Nylon",White Nylon,50 Pcs.,Hyundai # 82315-2P000
Door Trim Panel Retainers,12620PK,"23/64"" (9mm) Hole Size 13mm Stem Length 13mm Top Head Diameter","23/64"" (9mm) Hole Size 13mm Stem Length 13mm Top Head Diameter White Nylon",White Nylon,50 Pcs.,Hyundai # 82315-2P000
Door Trim Panel Retainers,12619PK,"5/16 x 1/2"" Hole Size 3/8"" Stem Length 1/2 x 13/16"" Top Head Size","5/16 x 1/2"" Hole Size 3/8"" Stem Length 1/2 x 13/16"" Top Head Size White Nylon With Sealer Front End Moulding Retainers",White Nylon,10 Pcs.,Ford # W705849-S300; Mazda # 9XG0-73-88X0
Door Trim Panel Retainers,15827PK,16mm Overall Height 11mm Width,16mm Overall Height 11mm Width Black Nylon Interior Trim Retainers,Black Nylon,50 Pcs.,Hyundai # 85858-3S000
Retainers Moulding,15828PK,19mm Overall Height 15mm Width,19mm Overall Height 15mm Width Black Nylon Interior Trim Retainers,Black Nylon,50 Pcs.,Hyundai # 85859-3S100
