Section,Part_Number,Size,Finish,Quantity,OEM_Number
Specialty Nuts,10406PK,#8 (4.20mm) Screw Size                    1,Natural Nylon,15 Pcs.,
Specialty Nuts,10938PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,V.W. # 321-813-998A
Specialty Nuts,10524PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,Chrysler # 6507009-AA
Specialty Nuts,10926PK,#8 (4.20mm) Screw Size                    1,Black Nylon,15 Pcs.,V.W. # N908-214-01
Specialty Nuts,12051PK,#8 (4.20mm) Screw Size                    1,Natural Nylon,15 Pcs.,Nissan # 01281-00691
Specialty Nuts,9662PK,#8 (4.20mm) Screw Size                    1,,15 Pcs.,Hyundai # 86910-21010
Specialty Nuts,2117PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,Ford # N804765-S R
Specialty Nuts,16447PK,"11/64"" (4.50mm) Hole Size                 25 Pc",Black Nylon,25 Pcs.,G.M. # 15265199
Specialty Nuts,9323PK,#10 (4.80mm) Screw Size                   50,Natural Nylon,50 Pcs.,"Nissan # 01281-00022, 72774-01F00"
Specialty Nuts,1610PK,#10 (4.80mm) Screw Size                   25,Black Nylon,25 Pcs.,Toyota # 90189-06018
Specialty Nuts,13324PK,#10 (4.80mm) Screw Size                   25,,25 Pcs.,"Subaru # 66117-9000, 90930-0007"
Specialty Nuts,10978PK,#10 (4.80mm) Screw Size                   15,Natural Nylon,15 Pcs.,Honda # 90107-SX0-003
Specialty Nuts,14992PK,#10 (4.80mm) Screw Size                   25,Natural Nylon,25 Pcs.,Mazda # 9991-00-501
Specialty Nuts,15829PK,#10 (4.80mm) Screw Size                   50,White Nylon,50 Pcs.,G.M. # 3783006
Specialty Nuts,1614PK,#10 (4.80mm) Screw Size                   25,Natural Nylon,25 Pcs.,"Honda # 75521-611-0000, 91619-SA5-003 5      ; Nissan # 96706-P0105 T"
Specialty Nuts,10771PK,#10 (4.80mm) Screw Size                   25,,25 Pcs.,Hyundai # 81385-38000
Specialty Nuts,1296PK,#10 (4.80mm) Screw Size                   25,Natural Nylon,25 Pcs.,"Honda # 90662-671-0030, 90662-671-003, 90662-; Nissan # 68425-H5000, 62698-V7000"
Specialty Nuts,15343PK,#10 (4.80mm) Screw Size                   15,White Nylon,15 Pcs.,Subaru # 94079AA000
Specialty Nuts,10549PK,#10 (4.80mm) Screw Size                   50,White Nylon,50 Pcs.,Chrysler # 4860375-AB
Specialty Nuts,10659PK,#10 (4.80mm) Screw Size                   25,Natural Nylon,25 Pcs.,Nissan # 01281-00111 T
Specialty Nuts,12914PK,#10 (4.80mm) Screw Size                   25,Black Nylon,25 Pcs.,Honda # 90107-S10-003
Specialty Nuts,10796PK,#10 (4.80mm) Screw Size                   25,White Nylon,25 Pcs.,Hyundai # 14913-05010
Specialty Nuts,17945PK,#10 (4.80mm) Screw Size,Natural Nylon,25 Pcs.,"G.M. # 90230846, 94515248"
Specialty Nuts,1560PK,#10 (4.80mm) Screw Size,Natural Nylon,50 Pcs.,G.M. # 94841764 M; Toyota # 90189-05013
Specialty Nuts,17833PK,#10 (4.80mm) Screw Size,Black Nylon,25 Pcs.,
Specialty Nuts,17908PK,#10 (4.80mm) Screw Size,,25 Pcs.,Ford # W702438-S300
Specialty Nuts,10777PK,#10 (4.80mm) Screw Size,Black Nylon,25 Pcs.,"Hyundai # 86848-22000, 86848-C8000"
Specialty Nuts,12585PK,#10 (4.80mm) Screw Size,Black Nylon,25 Pcs.,Audi # 867-809-966 V.W.
Specialty Nuts,10620PK,#10 (4.80mm) Screw Size,Natural Nylon,15 Pcs.,Nissan # 01281-00601
