Section,Part_Number,Size,Finish,Quantity
Hex Cap Screws,18500PK,"5/16-18 x 2""           1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18501PK,"5/16-18 x 2 1/4""         1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18502PK,"5/16-18 x 2 1/2""         1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18503PK,"5/16-18 x 2 3/4""         1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18504PK,"5/16-18 x 3""           1/2""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18511PK,"3/8-16 x 1/2""         9/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18513PK,"3/8-16 x 3/4""         9/16""        50 Pcs.",Stainless Steel,50 Pcs.
Hex Cap Screws,18514PK,"3/8-16 x 1""          9/16""        50 Pcs.   1",Stainless Steel,50 Pcs.
Hex Cap Screws,18515PK,"3/8-16 x 1 1/4""        9/16""        25 Pcs.",Stainless Steel,25 Pcs.
Hex Cap Screws,18516PK,"3/8-16 x 1 1/2""        9/16""        25 Pcs.",Stainless Steel,25 Pcs.
Hex Cap Screws,18517PK,"3/8-16 x 1 3/4""        9/16""        25 Pcs.",Stainless Steel,25 Pcs.
Hex Cap Screws,18518PK,"3/8-16 x 2""          9/16""        25 Pcs.   1",Stainless Steel,25 Pcs.
Hex Cap Screws,18519PK,"3/8-16 x 2 1/4""        9/16""        25 Pcs.",Stainless Steel,25 Pcs.
Hex Cap Screws,18520PK,"3/8-16 x 2 1/2""        9/16""        25 Pcs.",Stainless Steel,25 Pcs.
Hex Cap Screws,18521PK,"3/8-16 x 2 3/4""        9/16""        25 Pcs.",Stainless Steel,25 Pcs.
Washers,18648PK,"1/4""                     9/32",Stainless Steel,100 Pcs.
Washers,18649PK,"5/16""                    11/32""",Stainless Steel,100 Pcs.
Washers,18650PK,"3/8""                    13/32""",Stainless Steel,50 Pcs.
Washers,18651PK,"7/16""                     1/2""",Stainless Steel,50 Pcs.
Washers,18654PK,"5/8""                    11/16""",Stainless Steel,25 Pcs.
Washers,18662PK,"1/4""                         Split Lock Washe",Stainless Steel,100 Pcs.
Washers,18663PK,"5/16""                         Split Lock Wash",Stainless Steel,100 Pcs.
Washers,18664PK,"3/8""                          Split Lock Wash",Stainless Steel,50 Pcs.
Washers,18665PK,7/16                          Split Lock Wash,Stainless Steel,25 Pcs.
Washers,18666PK,"1/2""                          Split Lock Wash",Stainless Steel,25 Pcs.
Washers,18668PK,"5/8""                          Split Lock Wash",Stainless Steel,25 Pcs.
Nuts,18634PK,"1/4-20                      7/16""",Stainless Steel,100 Pcs.
Nuts,18635PK,"5/16-18                     1/2""",Stainless Steel,50 Pcs.
Nuts,18636PK,"3/8-16                     9/16""",Stainless Steel,50 Pcs.
Nuts,18637PK,"7/16-14                     11/16""",Stainless Steel,25 Pcs.
Nuts,18638PK,"1/2-13                      3/4""",Stainless Steel,25 Pcs.
Nuts,18640PK,"5/8-11                     15/16""",Stainless Steel,25 Pcs.
Nuts,18672PK,"1/4-20                   7/16""",Stainless Steel,100 Pcs.
