Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Bumper Cover W/Sealer,9712PK,"7/16"" (11mm) Hole Size 9mm Stem Length 13mm Head Diameter Park & Turn Signal Grommets","7/16"" (11mm) Hole Size 9mm Stem Length 13mm Head Diameter White Nylon Park & Turn Signal Grommets Products Rubber",White Nylon,50 Pcs.,"Ford # N811169-S, W705550-S300; G.M. #10423331; Toyota # 90075-10801, 90189-06111"
Clips Retaining,11395PK,6.70mm Inside Diameter 20mm Outside Diameter 1.76mm Thickness,6.70mm Inside Diameter 20mm Outside Diameter 1.76mm Thickness Neoprene Bumper Washers,,15 Pcs.,Toyota # 90430-06003; Toyota
Clips Retaining,15026PK,"9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter Black Nylon With Sealer Front Fender Retainers",Black Nylon,15 Pcs.,Toyota # 83857-47011
Clips Retaining,12918PK,"3/16"" (4.50mm) Hole Size 12mm Stem Length 16mm Head Diameter","3/16"" (4.50mm) Hole Size 12mm Stem Length 16mm Head Diameter Black Nylon Front Bumper Bracket Shield Retainers",Black Nylon,25 Pcs.,Toyota # 90467-05125
Clips Retaining,15002PK,"15/64"" (6mm) Hole Size 16mm Stem Length 16mm Head Diameter","15/64"" (6mm) Hole Size 16mm Stem Length 16mm Head Diameter Black Nylon Luggage Compartment Shield Retainers",Black Nylon,15 Pcs.,Toyota # 90467-06175
Retainers Shield,12897PK,"1/4"" (6.50mm) Hole Size 16mm Stem Length 16mm Head Diameter","1/4"" (6.50mm) Hole Size 16mm Stem Length 16mm Head Diameter Black Nylon Luggage Compartment Trim Retainer Clips",Black Nylon,25 Pcs.,Toyota # 90467-08186
Headliner Retainers,18779PK,"13/64"" (5mm) Hole Size 15mm Stem Length 20mm Head Diameter","13/64"" (5mm) Hole Size 15mm Stem Length 20mm Head Diameter Tan Nylon",Tan Nylon,25 Pcs.,Toyota # 90467-05164-E2
Headliner Retainers,18348PK,"7/32"" (5.50mm) Hole Size 14.90mm Stem Length 16mm Head Diameter","7/32"" (5.50mm) Hole Size 14.90mm Stem Length 16mm Head Diameter Black Nylon Shield Retainers",Black Nylon,50 Pcs.,Toyota # 90467-A0001-C1
Headliner Retainers,11021PK,"1/4"" (6.35mm) Hole Size 16mm Stem Length 19mm Head Diameter 2.70 - 7.30mm Panel Range","1/4"" (6.35mm) Hole Size 16mm Stem Length 19mm Head Diameter 2.70 - 7.30mm Panel Range Black Nylon Bumper Cover Shield Retainers",Black Nylon,50 Pcs.,Toyota # 90467-A0008
Trim Panel Retainers,18814PK,"13/64"" (5mm) Hole Size 14.90mm Stem Length 16mm Head Diameter","13/64"" (5mm) Hole Size 14.90mm Stem Length 16mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-05161-C0
Fender Seal Retainers,11979PK,"5/16"" (8mm) Hole Size 16mm Stem Length 16mm Head Diameter","5/16"" (8mm) Hole Size 16mm Stem Length 16mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-07208
Clips Retaining,18799PK,"9/32"" (7mm) Hole Size 16mm Stem Length 16mm Head Diameter","9/32"" (7mm) Hole Size 16mm Stem Length 16mm Head Diameter Black Nylon Trunk Side Trim Retainers",Black Nylon,25 Pcs.,"Toyota # 90467-A0002C4, 90467A0002C0; Toyota"
Panel Retainers,9074PK,"13/64"" (5mm) Hole Size 10mm Stem Length 14mm Head Diameter 3mm Panel Thickness","13/64"" (5mm) Hole Size 10mm Stem Length 14mm Head Diameter 3mm Panel Thickness Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-06161-01
Panel Retainers,1996PK,"13/64"" (5mm) Hole Size 11mm Stem Length 13mm Head Diameter","13/64"" (5mm) Hole Size 11mm Stem Length 13mm Head Diameter Black Nylon Hood Seal Retaining Clips",Black Nylon,50 Pcs.,"G.M. # 94842841, 94849113; Toyota # 90467-08004, 90467-08011"
Panel Retainers,1466PK,"13/64"" (5mm) Hole Size 15mm Stem Length 13mm Head Diameter","13/64"" (5mm) Hole Size 15mm Stem Length 13mm Head Diameter Black Nylon Retaining Clips",Black Nylon,25 Pcs.,"Nissan # 01553-00172; Toyota # 90467-07050, 90467-08008"
Panel Retaining Clips,13245PK,"15/64"" (6mm) Hole Size 10mm Stem Length 16mm Head Diameter","15/64"" (6mm) Hole Size 10mm Stem Length 16mm Head Diameter Black Nylon Side Trim",Black Nylon,10 Pcs.,Toyota # 90467-07096
Panel Retaining Clips,9261PK,"1/4"" (6.30mm) Hole Size 13mm Stem Length 7.00 x 13.00mm Head Size 9/32"" (7mm) Hole Size","1/4"" (6.30mm) Hole Size 13mm Stem Length 7.00 x 13.00mm Head Size Black Nylon Hood Cowl Retaining Clips 9/32"" (7mm) Hole Size",Black Nylon,25 Pcs.,Toyota # 90467-08101
Panel Retaining Clips,11417PK,8mm Stem Length 20mm Head Diameter,8mm Stem Length 20mm Head Diameter Black Nylon Fender Seal Retaining Clips,Black Nylon,25 Pcs.,Toyota # 90467-08136
Panel Retaining Clips,10416PK,"9/32"" (7mm) Hole Size 20mm Stem Length 15mm Head Diameter","9/32"" (7mm) Hole Size 20mm Stem Length 15mm Head Diameter Black Nylon Retaining Clips",Black Nylon,25 Pcs.,Honda # 90670-692-0030; Toyota # 90467-09065
Fender Liner Retainers,11975PK,"5/16"" (8mm) Hole Size 10mm Stem Length 14.50 x 16.00mm Head Size","5/16"" (8mm) Hole Size 10mm Stem Length 14.50 x 16.00mm Head Size Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-06192
Fender Liner Retainers,10414PK,"5/16"" (8mm) Hole Size 15mm Stem Length 15mm Head Diameter","5/16"" (8mm) Hole Size 15mm Stem Length 15mm Head Diameter Black Nylon Retaining Clips",Black Nylon,25 Pcs.,Mazda # B001-68-302-00; Toyota # 90950-01248
Retainers Hood Insulation,12017PK,"5/16"" (8mm) Hole Size 15mm Stem Length 18mm Head Diameter","5/16"" (8mm) Hole Size 15mm Stem Length 18mm Head Diameter Black Nylon Retaining Clips",Black Nylon,25 Pcs.,"Honda # 74842-659-0030, 74842-659-003; Toyota # 90467-12078, 90467-12078-01; Toyota"
Hood Insulation Retainers,9555PK,"15/64"" (6mm) Hole Size 16mm Stem Length 30mm Flange Diameter","15/64"" (6mm) Hole Size 16mm Stem Length 30mm Flange Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 90467-08081
Hood Insulation Retainers,12839PK,"1/4"" (6.50mm) Hole Size 16mm Stem Length 30mm Head Diameter","1/4"" (6.50mm) Hole Size 16mm Stem Length 30mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,"Toyota # 90467-09004, 90467-09004-01"
Hood Insulation Retainers,13210PK,"9/32"" (7mm) Hole Size 12mm Stem Length 24mm Head Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 24mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,Toyota # 53326-08010
Hood Insulation Retainers,10141PK,"9/32"" (7mm) Hole Size 12mm Stem Length 25mm Head Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 25mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,"Toyota # 90467-09050, 90467-A0003"
Hood Insulation Retainers,9403PK,"9/32"" (7mm) Hole Size 12mm Stem Length 25mm Head Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 25mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 90467-08124
Hood Insulation Retainers,9328PK,"9/32"" (7mm) Hole Size 17mm Stem Length 30mm Head Diameter","9/32"" (7mm) Hole Size 17mm Stem Length 30mm Head Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 90467-09006
Retainers Hood Insulation,1950PK,"9/32"" (7mm) Hole Size 19mm Stem Length 30mm Head Diameter","9/32"" (7mm) Hole Size 19mm Stem Length 30mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,"Toyota # 90467-09008, 90467-09008-01; Toyota"
Hood Seal Retainers,11978PK,"13/64"" (5mm) Hole Size 8mm Stem Length 5.00 x 13.00mm Head Size","13/64"" (5mm) Hole Size 8mm Stem Length 5.00 x 13.00mm Head Size Black Nylon",Black Nylon,25 Pcs.,Toyota # 65487-60010
Retainers Weatherstrip,18909PK,"13/64"" (5mm) Hole Size 10mm Stem Length 4.30 x 11mm Head Size","13/64"" (5mm) Hole Size 10mm Stem Length 4.30 x 11mm Head Size Black Nylon Front Bumper",Black Nylon,100 Pcs.,Lexus # 53145-60030; Toyota # 53145-60030
Retainers Weatherstrip,9685PK,"13/64"" (5mm) Hole Size 6mm Stem Length 12mm Head Diameter","13/64"" (5mm) Hole Size 6mm Stem Length 12mm Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,Toyota # 90467-05045-22
Retainers Weatherstrip,12069PK,"13/64"" (5mm) Hole Size 10mm Stem Length 5.00 x 15.00mm Head Size","13/64"" (5mm) Hole Size 10mm Stem Length 5.00 x 15.00mm Head Size Natural Nylon Weatherstrip Retainers",Natural Nylon,50 Pcs.,"Ford # E7GZ-6120586-B; Hyundai # 86438-2B000; Mazda # G031-58-762; Toyota # 67867-89103, 97868-89101,"
Retainers Weatherstrip,9290PK,"7/32"" (5.50mm) Hole Size 10mm Stem Length 10mm Head Diameter","7/32"" (5.50mm) Hole Size 10mm Stem Length 10mm Head Diameter Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,Toyota # 67869-20030
Retainers Weatherstrip,13370PK,"15/64"" (6mm) Hole Size 8.50mm Stem Length 5.00 x 15.00mm Head Size","15/64"" (6mm) Hole Size 8.50mm Stem Length 5.00 x 15.00mm Head Size White Nylon Weatherstrip Retainers",White Nylon,25 Pcs.,"Honda # 91563-SCV-003; Toyota # 67867-52010, 67867-0D060"
Retainers Weatherstrip,14952PK,"15/64"" (6mm) Hole Size 10mm Stem Length 5.00 x 15.00mm Head Size","15/64"" (6mm) Hole Size 10mm Stem Length 5.00 x 15.00mm Head Size Black Nylon Weatherstrip Retainers",Black Nylon,25 Pcs.,Toyota # 67867-0C010
Retainers Weatherstrip,12503PK,"15/64"" (6mm) Hole Size 11mm Stem Length 5.00 x 15.00mm Head Size","15/64"" (6mm) Hole Size 11mm Stem Length 5.00 x 15.00mm Head Size White Nylon Weatherstrip Retainers",White Nylon,15 Pcs.,Toyota # 67867-12150
Retainers Push Type,12917PK,"9/32"" (7mm) Hole Size 11mm Stem Length 14mm Head Diameter","9/32"" (7mm) Hole Size 11mm Stem Length 14mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,"Toyota # 90467-08045, 90467-08063; Toyota"
Push Type Retainer,15028PK,"13/64"" (5mm) Hole Size 10mm Stem Length 10mm Head Diameter","13/64"" (5mm) Hole Size 10mm Stem Length 10mm Head Diameter Black Nylon Front Bumper",Black Nylon,25 Pcs.,Toyota # 90467-05170
Push Type Retainers,16148PK,"7/32"" (5.50mm) Hole Size 15mm Stem Length 13mm Head Diameter","7/32"" (5.50mm) Hole Size 15mm Stem Length 13mm Head Diameter Black Nylon Inner Door Lock,",Black Nylon,25 Pcs.,Toyota # 90467-05156
