Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Door Panel & Rear Window Retainers,13444PK,"21/64"" (8.50mm) Hole Size 14mm Stem Length 14mm Top Head Diameter","21/64"" (8.50mm) Hole Size 14mm Stem Length 14mm Top Head Diameter White Nylon With Sealer",White Nylon,25 Pcs.,"BMW # 5141-8-224-768, 51-41-0-407-984"
Retainers Door Trim Panel,13377PK,"1/2"" (12.70mm) Hole Size 27mm Stem Length 30mm Head Diameter","1/2"" (12.70mm) Hole Size 27mm Stem Length 30mm Head Diameter Black Nylon Rocker Moulding & Door Sill Trim Retainers",Black Nylon,15 Pcs.,Use With # 15979; BMW # 51717066226; BMW
Retainers Door Trim Panel,13372PK,"1/2"" (12.70mm) Hole Size 32mm Stem Length 30mm Head Diameter","1/2"" (12.70mm) Hole Size 32mm Stem Length 30mm Head Diameter Black Nylon Rocker Panel Wheelhouse Trim Retainers",Black Nylon,15 Pcs.,Use With # 15979; BMW # 07147122912
Retainers Moulding,13433PK,13mm Width 15mm Height,13mm Width 15mm Height Zinc & Yellow,,25 Pcs.,BMW # 51437194187
Wheel Opening Moulding Clips,13228PK,"5/16"" (8mm) Hole Size 8mm Stem Length 13mm Top Head Diameter","5/16"" (8mm) Hole Size 8mm Stem Length 13mm Top Head Diameter Black Nylon Rear Quarter",Black Nylon,25 Pcs.,BMW # 07-13-0-702-516
Wheel Opening Moulding Clips,16371PK,"5/16"" (8mm) Hole Size 10.50mm Stem Length 16mm Top Head Size","5/16"" (8mm) Hole Size 10.50mm Stem Length 16mm Top Head Size Black Nylon Liftgate Trim Retainers",Black Nylon,25 Pcs.,BMW # 07-14-7-236-400
Moulding Clips,15977PK,"5/16"" (8mm) Hole Size 11mm Stem Length 11.00 x 19.0mm Top Head Diameter","5/16"" (8mm) Hole Size 11mm Stem Length 11.00 x 19.0mm Top Head Diameter Gray Nylon",Gray Nylon,15 Pcs.,"BMW # 07-13-2-757-821, 003-80-14348"
Body Side Moulding Retainers,13230PK,"5/16"" (8mm) Hole Size 11mm Stem Length 12mm Top Head Diameter","5/16"" (8mm) Hole Size 11mm Stem Length 12mm Top Head Diameter White Nylon With Sealer",White Nylon,25 Pcs.,BMW # 07-14-7-145-753
Trim Panel & Fender Flare Moulding Clips,12467PK,"5/16"" (8mm) Hole Size 13mm Stem Length 11.50 x 19.00mm Top Head Diameter","5/16"" (8mm) Hole Size 13mm Stem Length 11.50 x 19.00mm Top Head Diameter White Nylon",White Nylon,15 Pcs.,BMW # 07-13-7-073-915
Retainers Moulding,13231PK,5/16 (8mm) Hole Size 14mm Stem Length 8.50 x 14.00mm Head Size,5/16 (8mm) Hole Size 14mm Stem Length 8.50 x 14.00mm Head Size Black Nylon Rocker Moulding Retainers,Black Nylon,25 Pcs.,BMW # 51-71-1-496-621; BMW
Retainers Moulding,14284PK,"3/8"" (9.50mm) Hole Size 11mm Stem Length 25.50 x 34.00mm Head Size","3/8"" (9.50mm) Hole Size 11mm Stem Length 25.50 x 34.00mm Head Size White Nylon With Blue Rubber Boot Moulding Clips",White Nylon,25 Pcs.,BMW # 51-13-8-166-675
Body Side Moulding Clips,12462PK,"25/64"" (10mm) Hole Size 10mm Stem Length 17.50 x 30.50mm Head Diameter","25/64"" (10mm) Hole Size 10mm Stem Length 17.50 x 30.50mm Head Diameter White Nylon",White Nylon,25 Pcs.,BMW # 51-13-2-251-394
Body Side Moulding Clips,12466PK,"25/64"" (10mm) Hole Size 11mm Stem Length 22.50 x 33.00mm Head Diameter","25/64"" (10mm) Hole Size 11mm Stem Length 22.50 x 33.00mm Head Diameter White Nylon",White Nylon,25 Pcs.,BMW # 51-13-1-960-054
Moulding Clips,13447PK,21mm Stem Length 29mm Overall Length 16.00 x 20.00mm Top Head Size,21mm Stem Length 29mm Overall Length 16.00 x 20.00mm Top Head Size Red Nylon,,15 Pcs.,BMW # 51-71-7-127-742
Clips Window Regulator,12460PK,54.50mm Overall Length,54.50mm Overall Length Gray Nylon Windshield Moulding Clips,Gray Nylon,15 Pcs.,"BMW 7 Series 1987-Up; BMW # 51-31-1-938-494, 51-31-8-177-850"
Clips Window Regulator,13687PK,23.88mm Width 37.40mm Height 16.30mm Thick,23.88mm Width 37.40mm Height 16.30mm Thick Red Nylon Window Regulator Clips,,2 Pcs.,BMW E46
Clips Window Regulator,13523PK,37.90mm Width 32.85mm Height 13.40mm Thick,37.90mm Width 32.85mm Height 13.40mm Thick Right & Left Door Window Regulator Clips,,2 Pcs.,BMW 3 & 5 Series 1988 -On; BMW # 51231-938-884
