Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Cowl Retainers,12094PK,3mm Pin Diameter 13mm Stem Length 16.00 - 18.00mm Head Size,3mm Pin Diameter 13mm Stem Length 16.00 - 18.00mm Head Size Black Nylon,Black Nylon,25 Pcs.,Use With # 12093; Subaru # 91486-KJ010
Cowl Vent Screws,10941PK,6.5-1.50 x 16mm Screw Size 16mm Stem Length 23mm Head Diameter,6.5-1.50 x 16mm Screw Size 16mm Stem Length 23mm Head Diameter Phillips Drive Textured Head Black Nylon,Black Nylon,25 Pcs.,V.W. # 1H0-819-055-01C
Cowl Vent Retainers With Sealer,12283PK,"1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter","1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter Black Nylon",Black Nylon,15 Pcs.,G.M. # 95230842
Cowl Panel Retainers,15947PK,"9/32"" (7mm) Hole Size 14mm Stem Length 8.00 - 17.00mm Head Size","9/32"" (7mm) Hole Size 14mm Stem Length 8.00 - 17.00mm Head Size Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-10146
Retainers Cowl,13345PK,"17/64"" (7mm) Hole Size 16mm Stem Length 20mm Flange Diameter","17/64"" (7mm) Hole Size 16mm Stem Length 20mm Flange Diameter Black Nylon Phillips Screw Retainers f",Black Nylon,50 Pcs.,Use With # 13346; BMW # 51218-205-295
Cowl Panel Moulding Inserts,13346PK,"23/64"" (9mm) Hole Size 11mm Stem Length 13mm Head Diameter","23/64"" (9mm) Hole Size 11mm Stem Length 13mm Head Diameter Black Plastic",,50 Pcs.,Use With # 13345; BMW #51-13-8-124-389
Cowl Insulation Retainers,1408PK,"9/32"" (7mm) Hole Size 9/16"" Stem Length 13/32 x 1"" Head Size","9/32"" (7mm) Hole Size 9/16"" Stem Length 13/32 x 1"" Head Size Black Nylon iJu",Black Nylon,25 Pcs.,Ford # 384051-S; G.M. # 480534
Cowl Vent Retainers,10825PK,"9/32"" (7mm) Hole Size 14mm Stem Length 15mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 15mm Flange Diameter Black Nylon",Black Nylon,15 Pcs.,Toyota # 90467-07192
Cowl Vent Retainers,13093PK,"9/32"" (7mm) Hole Size 30mm Stem Length 23mm Flange Diameter","9/32"" (7mm) Hole Size 30mm Stem Length 23mm Flange Diameter Black Nylon Cowl, Interior Trim & Splash Sheild Retainers",Black Nylon,25 Pcs.,Ford # W714076-SS3JA
Cowl Vent Retainers,2056PK,"5/16"" (8mm) Hole Size 9mm Stem Length 17mm Flange Diameter","5/16"" (8mm) Hole Size 9mm Stem Length 17mm Flange Diameter Black Nylon Cowl Panel Push Type Retainers",Black Nylon,10 Pcs.,Honda # 91508-SR3-000
Cowl Panel Retainers,2057PK,"5/16"" (8mm) Hole Size 14mm Stem Length 18mm Flange Diameter","5/16"" (8mm) Hole Size 14mm Stem Length 18mm Flange Diameter Black Nylon With Sealer",Black Nylon,10 Pcs.,Honda # 91508-SM4-003
Cowl Panel Retainer,13383PK,"23/64"" (9mm) Hole Size 13mm Stem Length 17mm Flange Diameter","23/64"" (9mm) Hole Size 13mm Stem Length 17mm Flange Diameter Black Nylon",Black Nylon,5 Pcs.,Honda # 91508-S50-003
Cowl Vent Grommets,12376PK,"23/64"" (9mm) Hole Size 16mm Stem Length 18mm Head Diameter","23/64"" (9mm) Hole Size 16mm Stem Length 18mm Head Diameter White Nylon",White Nylon,10 Pcs.,Use With # 12375; Toyota # 90467-10152
Retainers Cowl,12375PK,"23/64"" (9mm) Pin Size 17mm Stem Length 16mm Head Diameter","23/64"" (9mm) Pin Size 17mm Stem Length 16mm Head Diameter Black Nylon",Black Nylon,10 Pcs.,Use With # 12376; Toyota # 90467-07126
Retainers Cowl,15144PK,"25/64"" (10mm) Hole Size 12mm Stem Length 18mm Head Diameter","25/64"" (10mm) Hole Size 12mm Stem Length 18mm Head Diameter Black Nylon Cowl Vent & Radiator Cover Retainers",Black Nylon,10 Pcs.,Toyota # 90467-10170-C0
Cowl & Luggage Retainers,16462PK,"13/32"" (10.30mm) Hole Size 9.50mm Stem Length 15mm Top Head Size","13/32"" (10.30mm) Hole Size 9.50mm Stem Length 15mm Top Head Size White Nylon",White Nylon,50 Pcs,Tesla # 1092696-00-B
Cowl Top Stud Retainer Cover,2076PK,"1/4-20 Stud Size 15/32"" Stem Length 13/16"" Flange Diameter","1/4-20 Stud Size 15/32"" Stem Length 13/16"" Flange Diameter Black Nylon T30 Torx Drive",Black Nylon,25 Pcs.,Use With # 2077; Chrysler # 6503339
Cowl Screen Retainers,2077PK,"1/4-20 x 1/4"" Hole Size 9/16"" Flange Diameter 1"" Overall Length","1/4-20 x 1/4"" Hole Size 9/16"" Flange Diameter 1"" Overall Length Black Nylon",Black Nylon,25 Pcs.,Use With # 2076; Chrysler # 6503336
Cowl Trim Retainers,12056PK,14mm Hex Size 14mm Overall Height 25mm Flange Diameter,14mm Hex Size 14mm Overall Height 25mm Flange Diameter Black Nylon,Black Nylon,25 Pcs.,Kia # 0K95A-68615
