Section,Part_Number,Size,Finish,Quantity
Hex Head,9869PK,"14 x 3/4""                                100",Zinc Finish,100 Pcs.
Hex Head,10685PK,"#10 x 3/4""                                50",Zinc Finish,50 Pcs.
Hex Head,10693PK,5.5-1.81 x 18mm                           5,Zinc Finish,50 Pcs.
Hex Head,10682PK,6.3-1.81 x 18mm                           2,Zinc Finish,25 Pcs.
Hex Head,10683PK,6.3-1.81 x 20mm                           2,Zinc Finish,25 Pcs.
Hex Head,9887PK,4.2-1.41 x 16mm                          10,Black Finish,100 Pcs.
Hex Head,5925PK,4.2-1.41 x 20mm                           5,Black Finish,50 Pcs.
Hex Head,18254PK,4.2-1.41 x 20mm,Black Finish,50 Pcs.
Hex Head,9888PK,4.2-1.41 x 20mm                           5,Black Finish,50 Pcs.
Hex Head,11029PK,4.2-1.41 x 20mm                           2,Black Finish,25 Pcs.
Hex Head,5550PK,4.2-1.41 x 20mm                           5,Black Finish,50 Pcs.
Hex Head,11044PK,4.2-1.41 x 20mm                          50,Black Finish,50 Pcs.
Hex Head,12669PK,4.2-1.41 x 20mm                          50,Black Finish,50 Pcs.
Hex Head,11122PK,4.2-1.41 x 25mm                          50,Black Finish,50 Pcs.
Hex Head,10684PK,4.2-1.41 x 30mm                          15,Black Finish,15 Pcs.
Hex Head,18817PK,4.80 - 1.59 x 25.00mm                      50,Black Finish,50 Pcs.
Hex Head,13096PK,4.8-1.61 x 16mm                          50,,50 Pcs.
Hex Head,18097PK,4.8-1.61 x 32mm                          50,Black Phosphate,50 Pcs.
Hex Head,18883PK,6-1.00 x 20mm,,25 Pcs.
Hex Head,12034PK,6.3-1.81 x 16mm                          50,Black Finish,50 Pcs.
Hex Head,5950PK,6.3-1.81 x 20mm                          50,Black Finish,50 Pcs.
Hex Head,5955PK,6.3-1.81 x 25mm,Black Finish,50 Pcs.
Hex Head,5956PK,6.3-1.81 x 25mm,Black Finish,25 Pcs.
Hex Head,12035PK,6.3-1.81 x 30mm,Black Finish,50 Pcs.
Hex Head,10457PK,6.3-1.81 x 30mm,Black Finish,50 Pcs.
Phillips Pan,12098PK,"1/4 (#14) x 3/4""",Stainless,100 Pcs.
Phillips Pan,18899PK,"1/4 (#14) x 3/4""",Bright Zinc,100 Pcs.
Phillips Pan,12011PK,6-1.00 x 16mm,Zinc Finish,50 Pcs.
Phillips Pan,11404PK,6-1.00 x 20mm,Black Finish,50 Pcs.
Hex Head,11934PK,"1/4 (#14) x 3/4""",Zinc Finish,50 Pcs.
Hex Head,13081PK,6.00-1.81 x 16.00mm,Zinc Finish,50 Pcs.
Hex Head,2123PK,6-1.81 x 20mm,Zinc Finish,50 Pcs.
Hex Head,12135PK,6-1.81 x 20mm,Zinc Finish,50 Pcs.
Hex Head,11133PK,6.3-1.81 x 20mm,,25 Pcs.
Hex Head,13252PK,6.30-1.81 x 20mm                           5,Stainless,50 Pcs.
Hex Head,14276PK,6-1.00 x 20mm,Stainless,50 Pcs.
Phillips Truss,12137PK,"1/4 (#14) x 3/4""",Black Finish,50 Pcs.
Phillips Truss,12271PK,"1/4 (#14) x 3/4""",Stainless,50 Pcs.
