Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Body Side Moulding Retainers,12476PK,"15/64"" (6mm) Hole Size 22mm Overall Length 17mm Overall Width","15/64"" (6mm) Hole Size 22mm Overall Length 17mm Overall Width Natural Nylon",Natural Nylon,10 Pcs.,Mercedes# 006-988-30-78
Body Side Moulding Retainers,9587PK,"1/4"" (6.50mm) Hole Size 7mm Stem Length 31mm Slotted Head Diameter","1/4"" (6.50mm) Hole Size 7mm Stem Length 31mm Slotted Head Diameter Black Nylon Rocker Moulding Retainers",Black Nylon,15 Pcs.,Mercedes# 000-991-74-98
Body Side Moulding Retainers,16356PK,"9/32"" (7mm) Hole Size 6mm Stem Length 10mm Head Size","9/32"" (7mm) Hole Size 6mm Stem Length 10mm Head Size Black Rubber Trunk Lid Hole Plugs .1",,50 Pcs.,Mercedes# 002-998-16-50
Grille Moulding Retainers,12553PK,"9/32"" (7mm) Hole Size","9/32"" (7mm) Hole Size Black Nylon",Black Nylon,10 Pcs.,Mercedes# 002-988-51-81
Moulding Retainers,13297PK,"9/32"" (7mm) Hole Size 6.70mm Stem Length 16.00 x 16.00mm Head Size","9/32"" (7mm) Hole Size 6.70mm Stem Length 16.00 x 16.00mm Head Size White Nylon",White Nylon,25 Pcs.,Mercedes# 001-988-49-81
Moulding Retainers,13298PK,"9/32"" (7mm) Hole Size 7mm Stem Length 12.00 x 16.00mm Head Size","9/32"" (7mm) Hole Size 7mm Stem Length 12.00 x 16.00mm Head Size White Nylon Front Fender Moulding Retainers",White Nylon,25 Pcs.,Mercedes# 001-988-44-81
Moulding Retainers,13300PK,"9/32"" (7mm) Hole Size 7mm Stem Length 12.50 x 15.50mm Head Size","9/32"" (7mm) Hole Size 7mm Stem Length 12.50 x 15.50mm Head Size Yellow Nylon Front Fender Moulding Retainers",Yellow Nylon,25 Pcs.,Mercedes# 001-988-60-81
Moulding Retainers,13303PK,"9/32"" (7mm) Hole Size 7mm Stem Length 18.50mm Width","9/32"" (7mm) Hole Size 7mm Stem Length 18.50mm Width White Nylon Front & Rear Door",White Nylon,25 Pcs.,Mercedes# 001-988-46-81
Moulding Retainers,13311PK,"5/16"" (8mm) Hole Size 16mm Stem Length 23mmWidth","5/16"" (8mm) Hole Size 16mm Stem Length 23mmWidth White Nylon With Rubber Boot",White Nylon,15 Pcs.,Mercedes# 001-988-80-81
Door Garnish Moulding Retainers,9586PK,"21/64"" (8.50mm) Hole Size 12mm Stem Length 13mm Top Head Diameter 23/64 (9mm) Hole Size","21/64"" (8.50mm) Hole Size 12mm Stem Length 13mm Top Head Diameter Yellow Nylon With Sealer 000-991-63-98-M22 23/64 (9mm) Hole Size",Yellow Nylon,50 Pcs.,"Mercedes# 000-991 -63-98,"
Moulding Grommets,13308PK,10.50mm Flange Diameter 1.25mm Panel Range,10.50mm Flange Diameter 1.25mm Panel Range Blue Nylon,Blue Nylon,,Mercedes# 000-988-55-81
Moulding Clip,13272PK,9mmWidth 22mm Overall Height,9mmWidth 22mm Overall Height Black Spring Steel,,25 Pcs.,V.W. # 4A0-867-276; Mercedes# 001-991-76-70
Moulding Retainers                                        '.            ',16357PK,"3/8"" (9.50mm) Hole Size 12mm Stem Length 20.00 x 30.00mm Head Size                                          -· -4""'-;,, Black & Gray With Sealer                                       ""     -~,1.,""'","3/8"" (9.50mm) Hole Size 12mm Stem Length 20.00 x 30.00mm Head Size                                          -· -4""'-;,, •   ';\!If , Black & Gray With Sealer                                       ""     -~,1.,""'",,25 Pcs.,Mercedes# 012-988-50-78                                 ·~rF             0
Moulding Retainers                                        '.            ',13352PK,26mm Stem Length 28mm Overall Stem Length 12.00 x 16.00mm Head Diameter,26mm Stem Length 28mm Overall Stem Length 12.00 x 16.00mm Head Diameter White Nylon Rocker Moulding Clips,White Nylon,10 Pcs.,Mercedes # 140-698-00-82
Moulding Retainers                                        '.            ',13307PK,"1/2"" (12.70mm) Hole Size 32mm Stem Length 19mmWidth 25.50mm Height","1/2"" (12.70mm) Hole Size 32mm Stem Length 19mmWidth 25.50mm Height White Nylon Quarter Panel Moulding Retainers",White Nylon,25 Pcs.,Mercedes# 001-988-63-81
Moulding Retainers                                        '.            ',16072PK,"51/64"" (20mm) Hole Size 16mm Stem Length 24mm Head Diameter","51/64"" (20mm) Hole Size 16mm Stem Length 24mm Head Diameter White Nylon Rocker Moulding Retainers",White Nylon,15 Pcs.,Use With # 9587; Mercedes# 000-991-72-98
Moulding Retainers                                        '.            ',9599PK,"7/8"" (22mm) Hole Size 16mm Stem Length 24mm Top Head Diameter","7/8"" (22mm) Hole Size 16mm Stem Length 24mm Top Head Diameter White Nylon With Sealer Rocker Moulding Retainers",White Nylon,10 Pcs.,Mercedes# 000-991-73-98
Moulding Retainers,13309PK,11mmWidth 45mm Length 16mm Overall Height,"11mmWidth 45mm Length 16mm Overall Height White Nylon . . - - . .                            I _ _ _ _ _ _ _M,.e1111 rce..,.de.s.#.o.01111611111 8-,.8111 9-,.7,.8_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ __",White Nylon,25Pcs,
Moulding Retainers,13376PK,14.50 x 47.00mm Nylon Clip 43mm Metal Clip Length,14.50 x 47.00mm Nylon Clip 43mm Metal Clip Length Black Finish Steel With White Nylon Front & Rear Upper Moulding Retainers,Black Finish,10 Pcs.,Mercedes# 124-988-94-78
Moulding Clips,13312PK,19mm Width 20mm Length 20mm Over All Height,19mm Width 20mm Length 20mm Over All Height White Nylon,White Nylon,25 Pcs.,Mercedes # 124-988-04-78
Moulding Clips,13302PK,22.5mm Width 23mm Length,22.5mm Width 23mm Length White Nylon,White Nylon,25 Pcs.,Mercedes# 001-988-50-81
Body Side Moulding Clips,13304PK,30mmWidth 26.60mm Height,30mmWidth 26.60mm Height White Nylon,White Nylon,10 Pcs.,Mercedes # 006-988-35-78
Door Moulding Clips,13310PK,32.50mm Width 48mm Length 15mm Overall Height,32.50mm Width 48mm Length 15mm Overall Height White Nylon Front & Rear,White Nylon,25 Pcs.,Mercedes# 007-988-71-78
