Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Push Type,1860PK,"5/16"" (8mm) Hole Size 20mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 20mm Flange Diameter Black Nylon Air Baﬄe Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 6503598; Ford # N807389S, 807389S; G.M. # 21030249, 15969147"
Retainers Push Type,10460PK,"5/16"" (8mm) Hole Size 20.50mm Stem Length 34mm Flange Diameter 3.50mm Shoulder","5/16"" (8mm) Hole Size 20.50mm Stem Length 34mm Flange Diameter 3.50mm Shoulder Black & Natural Nylon With Sealer Fascia Retainers",Natural Nylon,15 Pcs.,Chrysler# 4805405AA; Ford # 1L5Z-17K826AA
Retainers Push Type,5940PK,"5/16"" (8mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter","5/16"" (8mm) Hole Size 7/8"" Stem Length 1"" Flange Diameter Black Nylon Splash Shield Push Type Retainers",Black Nylon,25 Pcs.,"Ford # N804614S, N803934-S; G.M. # 20570245, 20635065"
Retainers Push Type,1263PK,"5/16"" (8mm) Hole Size 29/32"" Stem Length 1"" Flange Diameter 7/64"" Shoulder","5/16"" (8mm) Hole Size 29/32"" Stem Length 1"" Flange Diameter 7/64"" Shoulder Black Nylon Splash Shield & Fascia Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 6500725, 6501590; Ford # N803421-S"
Retainers Push Type,10504PK,"5/16"" (8mm) Hole Size 26mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 26mm Stem Length 20mm Flange Diameter Black Nylon Fender Shield Push Type Retainers",Black Nylon,15 Pcs.,Ford # W708530-S300; G.M. # 11518017; Ford
Retainers Push Type,10239PK,"21/64"" (8.30mm) Hole Size 14mm Stem Length 19mm Flange Diameter 2.70 - 5.30mm Panel Range","21/64"" (8.30mm) Hole Size 14mm Stem Length 19mm Flange Diameter 2.70 - 5.30mm Panel Range Black Nylon Push Type Retainers",Black Nylon,50 Pcs.,Ford # W715537-S300; G.M. # 11609417
Retainers Push Type,10374PK,"21/64"" (8.50mm) Hole Size 22mm Stem Length 20mm Flange Diameter 4.50 - 7.00mm Panel Range","21/64"" (8.50mm) Hole Size 22mm Stem Length 20mm Flange Diameter 4.50 - 7.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Ford # W712196-S300; G.M. # 11589293
Retainers Push Type,12077PK,"21/64"" (8.50mm) Hole Size 24mm Stem Length 25mm Flange Diameter","21/64"" (8.50mm) Hole Size 24mm Stem Length 25mm Flange Diameter Black Nylon Front Fender Push Type Retainers",Black Nylon,10 Pcs.,Ford # W718365-S300
Retainers Push Type,17082PK,"23/64"" (9mm) Hole Size 12mm Stem Length 25mm Flange Diameter","23/64"" (9mm) Hole Size 12mm Stem Length 25mm Flange Diameter Black Nylon Cowl Push Type Retainers",Black Nylon,15 Pcs.,Ford # W705956-S300
Retainers Push Type,15517PK,"23/64"" (9mm) Hole Size 22mm Stem Length 19mm Flange Diameter","23/64"" (9mm) Hole Size 22mm Stem Length 19mm Flange Diameter Gray Nylon Trim, Dash & Console Push Type Retainers",,25 Pcs.,"Chrysler # 5GC71RC3AA, 5GF92RC3AA; Ford # N808791"
Retainers Push Type,5678PK,"25/64"" (10mm) Hole Size 12.50mm Stem Length 16mm Flange Diameter","25/64"" (10mm) Hole Size 12.50mm Stem Length 16mm Flange Diameter Natural Nylon Push Type Retainers",Natural Nylon,25 Pcs.,"Ford # XL3Z-17E971-AA, XL34-17E971-AA"
Retainers Push Type,10518PK,"25/64"" (10mm) Hole Size 16mm Stem Length 20mm FlangeDiameter","25/64"" (10mm) Hole Size 16mm Stem Length 20mm FlangeDiameter Black Nylon Radiator Grille Push Type Retainers",Black Nylon,25 Pcs.,Ford # W714584-S300; Chrysler # 6507669-AA
Retainers Push Type,10377PK,"13/32"" (10.50mm) Hole Size 20mm Stem Length 25mm Flange Diameter 3.00 - 6.00mm Panel Range","13/32"" (10.50mm) Hole Size 20mm Stem Length 25mm Flange Diameter 3.00 - 6.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,15 Pcs.,Chrysler # 5GUU9K11BA; Ford # W712665-S300; G.M. # 11589295; Ford
Retainers Push Type,10734PK,"5/8"" (16mm) Slotted Hole 25mm Stem Length 19.80 x 36.00mm Head Diameter","5/8"" (16mm) Slotted Hole 25mm Stem Length 19.80 x 36.00mm Head Diameter Black Nylon Bumper Retainers",Black Nylon,5 Pcs.,Ford # N.A.
Retainers Phillips Screw,17926PK,8 x 11mm Hole Size 18mm Stem Length 14mm Head Diameter,8 x 11mm Hole Size 18mm Stem Length 14mm Head Diameter Black Nylon Push Type Retainers,Black Nylon,15 Pcs.,Ford # W719367-S300
