Section,Part_Number,Size,Finish,Quantity,OEM_Number
Bolts,12639PK,6-1.00 x 65mm      10mm                 14.00mm,Bright Zinc,10 Pcs.,
Bolts,12640PK,6-1.00 x 70mm      10mm                 14.00mm,Bright Zinc,10 Pcs.,
Bolts,3210PK,8-1.25 x 12mm      12mm                 17.50mm,Bright Zinc,25 Pcs.,
Bolts,3211PK,8-1.25 x 16mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,3212PK,8-1.25 x 20mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,3213PK,8-1.25 x 25mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,3214PK,8-1.25 x 30mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,3215PK,8-1.25 x 35mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,3216PK,8-1.25 x 40mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,12410PK,8-1.25 x 45mm      12mm                 17.50mm,Bright Zinc,15 Pcs.,
Bolts,12526PK,8-1.25 x 50mm      12mm                 17.50mm,Bright Zinc,10 Pcs.,
Bolts,12527PK,8-1.25 x 55mm      12mm                 17.50mm,Bright Zinc,10 Pcs.,
Bolts,12528PK,8-1.25 x 60mm      12mm                 17.50mm,Bright Zinc,10 Pcs.,
Bolts,12641PK,8-1.25 x 65mm      12mm                 17.50mm,Bright Zinc,10 Pcs.,
Bolts,12642PK,8-1.25 x 70mm      12mm                 17.50mm,Bright Zinc,10 Pcs.,
Bolts,3217PK,10-1.25 x 16mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,3218PK,10-1.25 x 20mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,3219PK,10-1.25 x 25mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,3220PK,10-1.25 x 30mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,3221PK,10-1.25 x 35mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,3222PK,10-1.25 x 40mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,12411PK,10-1.25 x 45mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,12529PK,10-1.25 x 50mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,12530PK,10-1.25 x 55mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,12531PK,10-1.25 x 60mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,12643PK,10-1.25 x 65mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Bolts,12644PK,10-1.25 x 70mm      14mm                21.00mm,Bright Zinc,10 Pcs.,
Nuts,3200PK,6-1.00mm       10mm           14.00mm,Bright Zinc,50 Pcs.,
Nuts,3201PK,8-1.25mm       12mm           17.00mm,Bright Zinc,50 Pcs.,
Nuts,3202PK,10-1.25mm       14mm           19.00mm,Bright Zinc,25 Pcs.,
Nuts,16476PK,5-.80mm         8mm              12mm,Bright Zinc,50 Pcs.,
Nuts,17946PK,10-1.50mm       15mm              21.8mm,Bright Zinc,25 Pcs.,
Bolts,17948PK,10-1.50 x 20mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17949PK,10-1.50 x 25mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17950PK,10-1.50 x 30mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17951PK,10-1.50 x 35mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17952PK,10-1.50 x 40mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17953PK,10-1.50 x 45mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17954PK,10-1.50 x 50mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17956PK,10-1.50 x 60mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17958PK,10-1.50 x 70mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17960PK,10-1.50 x 80mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Bolts,17962PK,10-1.50 x 90mm      15mm              22.30mm,Bright Zinc,10 Pcs.,
Screws,869PK,4-.70 x 16mm                    7mm,,50 Pcs.,
Screws,870PK,4-.70 x 20mm                    7mm,,50 Pcs.,
Screws,871PK,5-.80 x 10mm                    8mm,,50 Pcs.,
Screws,15558PK,5-.80 x 12mm                    8mm,,50 Pcs.,
