Section,Part_Number,Size,Finish,Quantity,OEM_Number
Screws,11650PK,"5/16-24 x 2 1/4""      1/2""           25 Pcs.   116",,25 Pcs.,
Screws,11651PK,"5/16-24 x 2 1/2""      1/2""           25 Pcs.   116",,25 Pcs.,
Screws,11652PK,"5/16-24 x 2 3/4""      1/2""           25 Pcs.   116",,25 Pcs.,
Screws,11653PK,"5/16-24 x 3""        1/2""           25 Pcs.   11694",,25 Pcs.,
Screws,11654PK,"5/16-24 x 3 1/2""      1/2""           25 Pcs.   116",,25 Pcs.,
Screws,11655PK,"5/16-24 x 4""        1/2""           25 Pcs.   11696",,25 Pcs.,
Screws,11656PK,"5/16-24 x 4 1/2""      1/2""           15 Pcs.   116",,15 Pcs.,
Screws,11657PK,"5/16-24 x 5""        1/2""           10 Pcs.   11698",,10 Pcs.,
Screws,11658PK,"5/16-24 x 5 1/2""      1/2""           10 Pcs.   116",,10 Pcs.,
Screws,11659PK,"5/16-24 x 6""        1/2""           10 Pcs.   11700",,10 Pcs.,
Screws,11660PK,"3/8-24 x 1/2""       9/16""           50 Pcs.   1170",,50 Pcs.,
Screws,11661PK,"3/8-24 x 3/4""       9/16""           50 Pcs.   1170",,50 Pcs.,
Screws,11662PK,"3/8-24 x 1""        9/16""           50 Pcs.   11703",,50 Pcs.,
Screws,11663PK,"3/8-24 x 1 1/4""      9/16""           50 Pcs.   117",,50 Pcs.,
Screws,11664PK,"3/8-24 x 1 1/2""      9/16""           50 Pcs.   117",,50 Pcs.,
Screws,11665PK,"3/8-24 x 1 3/4""      9/16""           50 Pcs.   117",,50 Pcs.,
Screws,11666PK,"3/8-24 x 2""        9/16""           25 Pcs.   11707",,25 Pcs.,
Screws,11708PK,"1/2-20 x 6""         3/4""             10 Pcs.   117",,10 Pcs.,
Screws,11709PK,"9/16-18 x 1""       13/16""            15 Pcs.   117",,15 Pcs.,
Screws,11710PK,"9/16-18 x 1 1/4""     13/16""            15 Pcs.   1",,15 Pcs.,
Screws,11711PK,"9/16-18 x 1 1/2""     13/16""            15 Pcs.   1",,15 Pcs.,
Screws,11712PK,"9/16-18 x 1 3/4""     13/16""            15 Pcs.   1",,15 Pcs.,
Screws,11713PK,"9/16-18 x 2""       13/16""            10 Pcs.   117",,10 Pcs.,
Screws,11714PK,"9/16-18 x 2 1/4""     13/16""            10 Pcs.   1",,10 Pcs.,
Screws,11715PK,"9/16-18 x 2 1/2""     13/16""            10 Pcs.   1",,10 Pcs.,
Screws,11716PK,"9/16-18 x 2 3/4""     13/16""            10 Pcs.   1",,10 Pcs.,
Screws,11717PK,"9/16-18 x 3""       13/16""            10 Pcs.   117",,10 Pcs.,
Screws,11718PK,"9/16-18 x 3 1/2""     13/16""            10 Pcs.   1",,10 Pcs.,
Screws,11719PK,"9/16-18 x 4""       13/16""            10 Pcs.   117",,10 Pcs.,
Screws,11720PK,"9/16-18 x 4 1/2""     13/16""            10 Pcs.   1",,10 Pcs.,
Screws,11721PK,"9/16-18 x 5""       13/16""            10 Pcs.   117",,10 Pcs.,
Screws,11722PK,"9/16-18 x 5 1/2""     13/16""            10 Pcs.   1",,10 Pcs.,
Screws,11723PK,"9/16-18 x 6""       13/16""            10 Pcs.   117",,10 Pcs.,
Screws,11724PK,"5/8-18 x 1""        15/16""            15 Pcs.   117",,15 Pcs.,
Screws,11725PK,"5/8-18 x 1 1/4""      15/16""            15 Pcs.   1",,15 Pcs.,
Screws,11726PK,"5/8-18 x 1 1/2""      15/16""            10 Pcs.   1",,10 Pcs.,
Screws,11727PK,"5/8-18 x 1 3/4""      15/16""            10 Pcs.   1",,10 Pcs.,
Screws,11728PK,"5/8-18 x 2""        15/16""            10 Pcs.   117",,10 Pcs.,
Screws,11729PK,"5/8-18 x 2 1/4""      15/16""            10 Pcs.   1",,10 Pcs.,
Screws,11730PK,"5/8-18 x 2 1/2""      15/16""            10 Pcs.   1",,10 Pcs.,
Screws,11731PK,"5/8-18 x 3""        15/16""            10 Pcs.   117",,10 Pcs.,
Screws,11732PK,"5/8-18 x 3 1/2""      15/16""            10 Pcs.   1",,10 Pcs.,
Screws,11733PK,"5/8-18 x 4""        15/16""            10 Pcs.   117",,10 Pcs.,
Screws,11734PK,"5/8-18 x 4 1/2""      15/16""            10 Pcs.   1",,10 Pcs.,
Screws,11735PK,"5/8-18 x 5""        15/16""            10 Pcs.   117",,10 Pcs.,
Screws,11736PK,"5/8-18 x 5 1/2""      15/16""             5 Pcs.   1",,5 Pcs.,
Screws,11737PK,"5/8-18 x 6""        15/16""             5 Pcs.   117",,5 Pcs.,
Screws,11738PK,"5/8-18 x 6 1/2""      15/16""              1 Pc.   1",,1 Pc.,
Screws,11739PK,"5/8-18 x 7""        15/16""              1 Pc.   117",,1 Pc.,
Screws,11740PK,"5/8-18 x 7 1/2""      15/16""              1 Pc.   1",,1 Pc.,
Screws,11741PK,"5/8-18 x 8""        15/16""              1 Pc.   117",,1 Pc.,
Screws,11743PK,"5/8-18 x 9""        15/16""              1 Pc.   117",,1 Pc.,
Screws,11744PK,"5/8-18 x 10""       15/16""              1 Pc.   117",,1 Pc.,
Screws,11745PK,"3/4-16 x 1""        1 1/8""            10 Pcs.   117",,10 Pcs.,
Screws,11746PK,"3/4-16 x 1 1/4""      1 1/8""            10 Pcs.   1",,10 Pcs.,
Screws,11747PK,"3/4-16 x 1 1/2""      1 1/8""            10 Pcs.   1",,10 Pcs.,
Screws,11748PK,"3/4-16 x 1 3/4""      1 1/8""            10 Pcs.   1",,10 Pcs.,
Screws,11749PK,"3/4-16 x 2""        1 1/8""            10 Pcs.   117",,10 Pcs.,
Washers,11816PK,"1/4""                 5/16""",,100 Pcs.,
Washers,11817PK,"5/16""                 3/8""",,100 Pcs.,
Washers,11818PK,"3/8""                 7/16""",,100 Pcs.,
Washers,11819PK,"7/16""                 1/2""",,50 Pcs.,
Washers,11820PK,"1/2""                 9/16""",,50 Pcs.,
Washers,11821PK,"9/16""                 5/8""",,25 Pcs.,
Washers,11822PK,"5/8""                11/16""",,25 Pcs.,
Washers,11823PK,"3/4""                13/16""",,25 Pcs.,
Washers,11824PK,"7/8""                15/16""",,10 Pcs.,
Washers,11825PK,"1""                  1 1/16""",,10 Pcs.,
Washers,11837PK,"5/16""                11/32""                      1",,100 Pcs.,
Washers,11838PK,"3/8""                13/32""                      13",,100 Pcs.,
Washers,11839PK,"7/16""                15/32""                      5",,50 Pcs.,
Washers,11840PK,"1/2""                17/32""                     1 1",,50 Pcs.,
Washers,11841PK,"9/16""                19/32""                     1",,25 Pcs.,
Washers,11842PK,"5/8""                11/16""                     1 5",,25 Pcs.,
Washers,11843PK,"3/4""                13/16""                     1 1",,25 Pcs.,
Washers,11844PK,"7/8""                15/16""                      1",,10 Pcs.,
Washers,11845PK,"1""                  1 1/8""",,10 Pcs.,
Washers,11806PK,"1/4""                   Split Lock Washers",,100 Pcs.,
Washers,11807PK,"5/16""                  Split Lock Washers",,100 Pcs.,
Washers,11808PK,"3/8""                   Split Lock Washers",,100 Pcs.,
Washers,11809PK,"7/16""                  Split Lock Washers",,50 Pcs.,
Washers,11810PK,"1/2""                   Split Lock Washers",,50 Pcs.,
Washers,11811PK,"9/16""                  Split Lock Washers",,25 Pcs.,
Washers,11812PK,"5/8""                   Split Lock Washers",,25 Pcs.,
Washers,11813PK,"3/4""                   Split Lock Washers",,25 Pcs.,
Washers,11814PK,"7/8""                   Split Lock Washers",,10 Pcs.,
Washers,11815PK,"1""                    Split Lock Washers",,10 Pcs.,
Nuts,11796PK,"1/4-20                      7/16""",,100 Pcs.,
Nuts,11797PK,"5/16-18                      1/2""",,100 Pcs.,
Nuts,11798PK,"3/8-16                      9/16""",,100 Pcs.,
Nuts,11799PK,"7/16-14                    11/16""",,50 Pcs.,
Nuts,11800PK,"1/2-13                       3/4""",,50 Pcs.,
Nuts,11801PK,"9/16-12                      7/8""",,25 Pcs.,
Nuts,11802PK,"5/8-11                     15/16""",,25 Pcs.,
Nuts,11803PK,"3/4-10                 1 1/8""",,25 Pcs.,
Nuts,11804PK,"7/8-9                  1 5/16""",,10 Pcs.,
Nuts,11805PK,"1-8                   1 1/2""",,10 Pcs.,
Nuts,11826PK,"1/4-28                  7/16""",,100 Pcs.,
Nuts,11827PK,"5/16-24                     1/2""",,100 Pcs.,
Nuts,11828PK,"3/8-24                  9/16""",,100 Pcs.,
Nuts,11829PK,"7/16-20                    11/16""",,50 Pcs.,
Nuts,11830PK,"1/2-20                   3/4""",,50 Pcs.,
Nuts,11831PK,"9/16-18                     7/8""",,25 Pcs.,
Nuts,11832PK,"5/8-18                 15/16""",,25 Pcs.,
Nuts,11833PK,"3/4-16                 1 1/8""",,25 Pcs.,
Nuts,11834PK,"7/8-14                 1 5/16""",,10 Pcs.,
Nuts,11835PK,"1-14                   1 1/2""",,10 Pcs.,
Nuts,12860PK,"1/4-20                7/16""                USS",,100 Pcs.,
Nuts,12861PK,"5/16-18               1/2""                 USS",,100 Pcs.,
Nuts,12862PK,"3/8-16                9/16""                USS",,100 Pcs.,
Nuts,12863PK,"7/16-14              11/16""                USS",,50 Pcs.,
Nuts,12864PK,1/2-13                 3/4'                USS,,50 Pcs.,
Nuts,12865PK,"9/16-12               7/8""                 USS",,25 Pcs.,
Nuts,12866PK,"5/8-11               15/16""                USS",,25 Pcs.,
Nuts,12867PK,"3/4-10               1 1/8""                USS",,25 Pcs.,
Nuts,12868PK,"7/8-9               1 1/4""                USS",,10 Pcs.,
Nuts,12869PK,"1-8                1 1/2""                USS",,10 Pcs.,
Nuts,12870PK,"1/4-28           7/16""                  SAE",,100 Pcs.,
Nuts,12871PK,"5/16-24           1/2""                  SAE",,100 Pcs.,
Nuts,12872PK,"3/8-24           9/16""                  SAE",,100 Pcs.,
Nuts,12873PK,"7/16-20         11/16""                  SAE",,50 Pcs.,
Nuts,12874PK,"1/2-20            3/4""                  SAE",,50 Pcs.,
Nuts,12875PK,"9/16-18           7/8""                  SAE",,25 Pcs.,
Nuts,12876PK,"5/8-18          15/16""                  SAE",,25 Pcs.,
Nuts,12877PK,"3/4-16           1-1/8""                 SAE",,25 Pcs.,
Nuts,12878PK,"7/8-14          1-5/16""                 SAE",,10 Pcs.,
Nuts,12879PK,"1-14            1-1/2""                 SAE",,10 Pcs.,
Nuts,12378PK,"1/4-20                   7/16""                   U",,100 Pcs.,
Nuts,12379PK,"5/16-18                    1/2""",,100 Pcs.,
Nuts,12380PK,"3/8-16                   9/16""                   U",,100 Pcs.,
Nuts,12381PK,"7/16-14                  11/16""",,50 Pcs.,
Nuts,12382PK,"1/2-13                   3/4""                    U",,50 Pcs.,
Nuts,12383PK,"9/16-12                  11/32""",,25 Pcs.,
Nuts,12384PK,"5/8-11                  15/16""                   U",,25 Pcs.,
Nuts,12385PK,"3/4-10                  1 1/8""                   U",,25 Pcs.,
Nuts,12386PK,"7/8-9                  1 5/16""                  US",,10 Pcs.,
Nuts,12387PK,"1-8                    1 1/2""                   US",,10 Pcs.,
Screws,1330PK,"1/4-20 x 1/2""       7/16""        100 Pcs.   10209P",,100 Pcs.,
Screws,1331PK,"1/4-20 x 3/4""       7/16""        100 Pcs.   1346PK",,100 Pcs.,
Screws,1332PK,"1/4-20 x 1""        7/16""        100 Pcs.   16662PK",,100 Pcs.,
Screws,1333PK,"1/4-20 x 1 1/4""      7/16""        100 Pcs.   1347P",,100 Pcs.,
Screws,1334PK,"1/4-20 x 1 1/2""      7/16""        100 Pcs.   10277",,100 Pcs.,
Screws,16638PK,"1/4-20 x 1 3/4""      7/16""        100 Pcs.   16663",,100 Pcs.,
Screws,1335PK,"1/4-20 x 2""        7/16""        100 Pcs.   16664PK",,100 Pcs.,
Screws,16639PK,"1/4-20 x 2 1/4""      7/16""         50 Pcs.   16665",,50 Pcs.,
Screws,16640PK,"1/4-20 x 2 1/2""      7/16""         25 Pcs.   16666",,25 Pcs.,
Screws,16641PK,"1/4-20 x 2 3/4""      7/16""         25 Pcs.   16667",,25 Pcs.,
Screws,16642PK,"1/4-20 x 3""        7/16""         25 Pcs.   16668PK",,25 Pcs.,
Screws,16643PK,"1/4-20 x 3 1/2""      7/16""         25 Pcs.   1348P",,25 Pcs.,
Screws,16644PK,"1/4-20 x 4""        7/16""         25 Pcs.   1349PK",,25 Pcs.,
Screws,16645PK,"1/4-20 x 4 1/2""      7/16""         15 Pcs.   9749P",,15 Pcs.,
Screws,16646PK,"1/4-20 x 5""        7/16""         10 Pcs.   9122PK",,10 Pcs.,
Screws,16647PK,"1/4-20 x 5 1/2""      7/16""         10 Pcs.   1351P",,10 Pcs.,
Screws,16648PK,"1/4-20 x 6""        7/16""         10 Pcs.   16669PK",,10 Pcs.,
Screws,16649PK,"5/16-18 x 1/2""        1/2""        100 Pcs.   9123P",,100 Pcs.,
Screws,1336PK,"5/16-18 x 3/4""        1/2""        100 Pcs.   16670",,100 Pcs.,
Screws,1337PK,"5/16-18 x 1""         1/2""        100 Pcs.   15713P",,100 Pcs.,
Screws,1338PK,"5/16-18 x 1 1/4""      1/2""        100 Pcs.   16672",,100 Pcs.,
Screws,1339PK,"5/16-18 x 1 1/2""      1/2""        100 Pcs.   16673",,100 Pcs.,
Screws,16650PK,"5/16-18 x 1 3/4""      1/2""         50 Pcs.   16674",,50 Pcs.,
Screws,1340PK,"5/16-18 x 2""         1/2""         50 Pcs.   16675P",,50 Pcs.,
Screws,16651PK,"5/16-18 x 2 1/4""      1/2""         50 Pcs.   16676",,50 Pcs.,
Screws,1341PK,"5/16-18 x 2 1/2""      1/2""         50 Pcs.   16677",,50 Pcs.,
Screws,16652PK,"5/16-18 x 2 3/4""      1/2""         50 Pcs.   16678",,50 Pcs.,
Screws,16653PK,"5/16-18 x 3""         1/2""         50 Pcs.   16679P",,50 Pcs.,
Screws,16654PK,"5/16-18 x 3 1/2""      1/2""         25 Pcs.   11935",,25 Pcs.,
Screws,16655PK,"5/16-18 x 4""         1/2""         25 Pcs.   1352PK",,25 Pcs.,
Screws,16656PK,"5/16-18 x 4 1/2""      1/2""         15 Pcs.   16680",,15 Pcs.,
Screws,16657PK,"5/16-18 x 5""         1/2""         10 Pcs.   1353PK",,10 Pcs.,
Screws,16658PK,"5/16-18 x 5 1/2""      1/2""         10 Pcs.   16681",,10 Pcs.,
Screws,16659PK,"5/16-18 x 6""         1/2""         10 Pcs.   1354PK",,10 Pcs.,
Screws,16660PK,"3/8-16 x 1/2""       9/16""         50 Pcs.   16682P",,50 Pcs.,
Screws,9121PK,"3/8-16 x 3/4""       9/16""         50 Pcs.   1355PK",,50 Pcs.,
Screws,1342PK,"3/8-16 x 1""        9/16""         50 Pcs.   1356PK",,50 Pcs.,
Screws,1343PK,"3/8-16 x 1 1/4""      9/16""         50 Pcs.   16683",,50 Pcs.,
Screws,1344PK,"3/8-16 x 1 1/2""      9/16""         50 Pcs.   16684",,50 Pcs.,
Screws,16661PK,"3/8-16 x 1 3/4""      9/16""         50 Pcs.   16685",,50 Pcs.,
